usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,submittedname,matchcategory,note,acceptedUsageKey
2480524,"Buteo lagopus (Pontoppidan, 1763)",Buteo lagopus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Accipitriformes,Accipitridae,Buteo,Buteo lagopus,1,44,212,7191147,2877,2480517,2480524,FALSE,Aves,Buteo lagopus,Top,NA,NA
5228514,"Archilochus colubris (Linnaeus, 1758)",Archilochus colubris,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Apodiformes,Trochilidae,Archilochus,Archilochus colubris,1,44,212,1448,5289,2476402,5228514,FALSE,Aves,Archilochus colubris,Top,NA,NA
2484184,"Euphagus carolinus (Statius Muller, 1776)",Euphagus carolinus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Euphagus,Euphagus carolinus,1,44,212,729,6176,2484182,2484184,FALSE,Aves,Euphagus carolinus,Top,NA,NA
2481600,"Pagodroma nivea (G.Forster, 1777)",Pagodroma nivea,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Pagodroma,Pagodroma nivea,1,44,212,7192755,9339,2481599,2481600,FALSE,Aves,Pagodroma nivea,Top,NA,NA
2492196,"Melospiza melodia (A.Wilson, 1810)",Melospiza melodia,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Melospiza,Melospiza melodia,1,44,212,729,9608,2492191,2492196,FALSE,Aves,Melospiza melodia,Top,NA,NA
2481616,"Stercorarius maccormicki H.Saunders, 1893",Stercorarius maccormicki,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Charadriiformes,Stercorariidae,Stercorarius,Stercorarius maccormicki,1,44,212,7192402,9347,2481608,2481616,FALSE,Aves,Stercorarius maccormicki,Top,NA,NA
2434814,"Mirounga leonina (Linnaeus, 1758)",Mirounga leonina,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Carnivora,Phocidae,Mirounga,Mirounga leonina,1,44,359,732,5310,2434812,2434814,FALSE,Mammalia,Mirounga leonina,Top,NA,NA
2481432,"Fulmarus glacialoides (A.Smith, 1840)",Fulmarus glacialoides,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides,1,44,212,7192755,9339,2481431,2481432,FALSE,Aves,Fulmarus glacialoides,Top,NA,NA
2481515,"Macronectes giganteus (Gmelin, 1789)",Macronectes giganteus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,1,44,212,7192755,9339,2481514,2481515,FALSE,Aves,Macronectes giganteus,Top,NA,NA
2488485,"Piranga rubra (Linnaeus, 1758)",Piranga rubra,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Piranga,Piranga rubra,1,44,212,729,9285,2488483,2488485,FALSE,Aves,Piranga rubra,Top,NA,NA
2492235,"Melospiza georgiana (Latham, 1790)",Melospiza georgiana,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Melospiza,Melospiza georgiana,1,44,212,729,9608,2492191,2492235,FALSE,Aves,Melospiza georgiana,Top,NA,NA
5229320,"Pachyptila belcheri (Mathews, 1912)",Pachyptila belcheri,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Procellariidae,Pachyptila,Pachyptila belcheri,1,44,212,7192755,9339,2481527,5229320,FALSE,Aves,Pachyptila belcheri,Top,NA,NA
2491728,"Pooecetes gramineus (J.F.Gmelin, 1789)",Pooecetes gramineus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Pooecetes,Pooecetes gramineus,1,44,212,729,9608,2491727,2491728,FALSE,Aves,Pooecetes gramineus,Top,NA,NA
2434784,"Leptonychotes weddellii (Lesson, 1826)",Leptonychotes weddellii,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Carnivora,Phocidae,Leptonychotes,Leptonychotes weddellii,1,44,359,732,5310,2434783,2434784,FALSE,Mammalia,Leptonychotes weddellii,Top,NA,NA
