trait,STUDY_ID_CELL,kendall_cor
TR_BodyLength_mm,148_4718922,-0.2900847878624182
TR_BodyLength_mm,148_4718924,0.6408937593274027
TR_BodyLength_mm,148_4718929,0.3206200286900412
TR_BodyLength_mm,148_4718931,0.19889806323953874
TR_BodyLength_mm,148_4718938,0.2346051143592623
TR_BodyLength_mm,148_4718941,0.4000083249216946
TR_BodyLength_mm,148_4718942,-0.2935903373670295
TR_BodyLength_mm,148_4718944,0.09205101496312953
TR_BodyLength_mm,148_4718948,-0.20512820512820512
TR_BodyLength_mm,148_4718951,0.07236842105263157
TR_BodyLength_mm,148_4718953,-0.05128205128205128
TR_BodyLength_mm,148_4718968,-0.14248070704379331
TR_BodyLength_mm,148_4718969,-0.02346051143592623
TR_BodyLength_mm,148_4718971,0.34545454545454546
TR_BodyLength_mm,148_4718972,-0.2
TR_BodyLength_mm,148_4718973,-0.09544491002070925
TR_BodyLength_mm,148_4718974,0.16358102605079075
TR_BodyLength_mm,148_4719624,-0.1666666666666667
TR_BodyLength_mm,148_4719646,0.3090909090909091
TR_BodyLength_mm,148_4719647,0.2651974176527183
TR_BodyLength_mm,148_4719650,-0.16666666666666666
TR_BodyLength_mm,148_4719663,0.17049271966233728
TR_BodyLength_mm,148_4719672,0.09090909090909091
TR_BodyLength_mm,148_4719673,0
TR_BodyLength_mm,148_4719680,-0.07189542483660132
TR_BodyLength_mm,148_4719681,-0.11640374575964342
TR_BodyLength_mm,148_4719682,0.14085904245475278
TR_BodyLength_mm,148_4719683,0.05128205128205128
TR_BodyLength_mm,148_4719698,-0.1524933243335205
TR_BodyLength_mm,148_4719699,-0.0989010989010989
TR_BodyLength_mm,148_4719700,-0.08888888888888889
TR_BodyLength_mm,148_4719703,0.08654246229949734
TR_BodyLength_mm,148_4720351,-0.14285714285714285
TR_BodyLength_mm,148_4720360,-0.09090909090909091
TR_BodyLength_mm,148_4720369,-0.2828947368421052
TR_BodyLength_mm,148_4720370,0.21212121212121213
TR_BodyLength_mm,148_4720391,0.3756963416746843
TR_BodyLength_mm,148_4720406,0.25274725274725274
TR_BodyLength_mm,148_4720412,-0.1634615384615385
TR_BodyLength_mm,148_4720413,-0.08971007480535134
TR_BodyLength_mm,148_4720419,0.06451747176156365
TR_BodyLength_mm,148_4720431,-0.04419956960878639
TR_BodyLength_mm,148_4720433,0.11176470588235295
TR_BodyLength_mm,148_4720434,-0.1634615384615385
TR_BodyLength_mm,148_4721077,0.21212121212121213
TR_BodyLength_mm,148_4721098,-0.1666666666666667
TR_BodyLength_mm,148_4721116,0.08571428571428573
TR_BodyLength_mm,148_4721117,-0.00836827408755723
TR_BodyLength_mm,148_4721124,-0.09032446046618911
TR_BodyLength_mm,148_4721125,0.14285714285714285
TR_BodyLength_mm,148_4721128,-0.16058821968029055
TR_BodyLength_mm,148_4721138,0.16483516483516483
TR_BodyLength_mm,148_4721141,-0.14426307048351616
TR_BodyLength_mm,148_4721143,0.13259870882635916
TR_BodyLength_mm,148_4721148,-0.04761904761904762
TR_BodyLength_mm,148_4721161,-0.11483385035264293
TR_BodyLength_mm,148_4721162,-0.09941520467836257
TR_BodyLength_mm,148_4721163,0.2666666666666666
TR_BodyLength_mm,148_4721164,0.030303030303030304
TR_BodyLength_mm,148_4721804,-0.24354409352352624
TR_BodyLength_mm,148_4721809,-0.8571428571428571
TR_BodyLength_mm,148_4721822,-0.6190476190476191
TR_BodyLength_mm,148_4721826,0.03296703296703297
TR_BodyLength_mm,148_4721829,0.08989331499509895
TR_BodyLength_mm,148_4721848,0.1984790653795493
TR_BodyLength_mm,148_4721860,0.30303030303030304
TR_BodyLength_mm,148_4721865,0.2
TR_BodyLength_mm,148_4721871,-0.07446808510638298
TR_BodyLength_mm,148_4721872,0.27777777777777785
TR_BodyLength_mm,148_4721873,0.28852614096703233
TR_BodyLength_mm,148_4721878,-0.25
TR_BodyLength_mm,148_4721883,-0.019607843137254905
TR_BodyLength_mm,148_4722536,-0.13259870882635916
TR_BodyLength_mm,148_4722547,0.42424242424242425
TR_BodyLength_mm,148_4722551,-0.5714285714285714
TR_BodyLength_mm,148_4722552,-0.16483516483516483
TR_BodyLength_mm,148_4722557,0.07692307692307693
TR_BodyLength_mm,148_4722579,-0.09569487529386911
TR_BodyLength_mm,148_4722580,0.12087912087912088
TR_BodyLength_mm,148_4722584,0.38888888888888895
TR_BodyLength_mm,148_4722585,0.20920685218893076
TR_BodyLength_mm,148_4722592,0.07920835216900225
TR_BodyLength_mm,148_4722594,0.13397282541141675
TR_BodyLength_mm,148_4722601,0.21052872564651204
TR_BodyLength_mm,148_4722611,-0.10687334289668039
TR_BodyLength_mm,148_4722612,-0.510464719340991
TR_BodyLength_mm,148_4723275,0.06666666666666667
