TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Globicephala sp,Globicephala,GENUS,Animalia,NA,137017,Globicephala,NA,NA,>200 mm,NA,NA,NA,NA,NA,NA,NA
Delphinidae sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thalassarche bulleri,Thalassarche bulleri,SPECIES,Animalia,Buller's Albatross,225776,Thalassarche bulleri,NA,NA,NA,NA,2871.25,NA,NA,NA,NA,NA
Thalassarche salvini,Thalassarche salvini,SPECIES,Animalia,Salvin's Albatross,567903,Thalassarche salvini,NA,NA,NA,NA,4012.5,NA,NA,NA,NA,NA
Pterodroma cookii,Pterodroma cookii,SPECIES,Animalia,Cook's Petrel,225943,Pterodroma cookii,NA,NA,NA,NA,191,NA,NA,NA,NA,NA
Arctocephalus pusillus,Arctocephalus pusillus,SPECIES,Animalia,Brown Fur Seal,231410,Arctocephalus pusillus,NA,NA,NA,NA,127551,NA,NA,NA,NA,NA
Phalacrocorax fuscescens,Phalacrocorax fuscescens,SPECIES,Animalia,Black-faced Cormorant,343944,Phalacrocorax fuscescens,NA,NA,NA,NA,1420,NA,NA,NA,NA,NA
Tursiops truncatus,Tursiops truncatus,SPECIES,Animalia,Bottlenose Dolphin,137111,Tursiops truncatus,NA,3800,>200 mm,NA,230000,NA,NA,NA,NA,NA
Larus pacificus,Larus pacificus,SPECIES,Animalia,Pacific Gull,343917,Larus pacificus,NA,NA,NA,NA,1313.5,NA,NA,NA,NA,NA
Sterna bergii,Sterna bergii,SPECIES,Animalia,NA,212606,Sterna bergii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagenorhynchus obscurus,Lagenorhynchus obscurus,SPECIES,Animalia,Dusky Dolphin,231434,Lagenorhynchus obscurus,NA,2003.3333333333333,>200 mm,NA,80000,NA,NA,NA,NA,NA
Lissodelphis peronii,Lissodelphis peronii,SPECIES,Animalia,Southern Right Whale Dolphin,231414,Lissodelphis peronii,NA,3000,>200 mm,NA,100000,NA,NA,NA,NA,NA
Procellaria parkinsoni,Procellaria parkinsoni,SPECIES,Animalia,Black Petrel,225914,Procellaria parkinsoni,NA,NA,NA,NA,702.5,NA,NA,NA,NA,NA
Thalassarche steadi,Thalassarche steadi,SPECIES,Animalia,NA,1348515,Thalassarche steadi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceramium,Ceramium,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cladophora,Cladophora,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
