TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Verrucaria,Verrucaria,GENUS,Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthoria parietina,Xanthoria parietina,SPECIES,Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dictyota dichotoma,Dictyota dichotoma,SPECIES,Chromista,NA,145367,Dictyota dichotoma,NA,140,NA,NA,NA,NA,NA,NA,NA,NA
Lomentaria clavellosa,Lomentaria clavellosa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nitophyllum punctatum,Nitophyllum punctatum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllophora crispa,Phyllophora crispa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterothamnion plumula,Pterothamnion plumula,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphipoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cancer pagurus,Cancer pagurus,SPECIES,Animalia,NA,107276,Cancer pagurus,NA,142.4,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Caprellidae,Caprellina,GENUS,Animalia,NA,206665,Caprellina,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Carcinus maenas,Carcinus maenas,SPECIES,Animalia,NA,107381,Carcinus maenas,NA,54.5,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Crossaster papposus,Crossaster papposus,SPECIES,Animalia,NA,124154,Crossaster papposus,NA,263.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA
Galathea,Galathea,GENUS,Animalia,NA,106834,Galathea,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Henricia,Henricia,GENUS,Animalia,NA,123276,Henricia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyas araneus,Hyas araneus,SPECIES,Animalia,NA,107322,Hyas araneus,NA,85.75,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Myoxocephalus scorpius,Myoxocephalus scorpius,SPECIES,Animalia,NA,127203,Myoxocephalus scorpius,NA,380,NA,52.65,NA,NA,NA,FroesePauly2018 / Wiedmann2014,NA,NA
Pholis gunnellus,Pholis gunnellus,SPECIES,Animalia,NA,126996,Pholis gunnellus,NA,250,NA,25,NA,NA,NA,FroesePauly2018,NA,NA
Pleuronectidae,Pleuronectia,GENUS,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pollachius pollachius,Pollachius pollachius,SPECIES,Animalia,NA,126440,Pollachius pollachius,NA,950,NA,130,NA,NA,NA,FroesePauly2018,NA,NA
Polyplacophora,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taurulus bubalis,Taurulus bubalis,SPECIES,Animalia,NA,127204,Taurulus bubalis,NA,173.75,NA,17,NA,NA,NA,FroesePauly2018,NA,NA
Abietinaria abietina,Abietinaria abietina,SPECIES,Animalia,NA,117870,Abietinaria abietina,NA,300,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Acanthodoris pilosa,Acanthodoris pilosa,SPECIES,Animalia,NA,140627,Acanthodoris pilosa,NA,39.375,NA,NA,NA,NA,NA,NA,NA,NA
Alcyonidium diaphanum,Alcyonidium diaphanum,SPECIES,Animalia,NA,111597,Alcyonidium diaphanum,NA,325,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Alcyonium digitatum,Alcyonium digitatum,SPECIES,Animalia,NA,125333,Alcyonium digitatum,NA,NA,>200 mm,NA,NA,NA,NA,NA,NA,NA
Antedon bifida,Antedon bifida,SPECIES,Animalia,NA,124201,Antedon bifida,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Aplidium,Aplidium,GENUS,Animalia,NA,103471,Aplidium,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Archidoris pseudoargus,Archidoris pseudoargus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arenicola marina,Arenicola marina,SPECIES,Animalia,NA,129868,Arenicola marina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Balanus balanus,Balanus balanus,SPECIES,Animalia,NA,106213,Balanus balanus,NA,27,NA,NA,NA,NA,NA,NA,NA,NA
Balanus crenatus,Balanus crenatus,SPECIES,Animalia,NA,106215,Balanus crenatus,NA,19.166666666666668,NA,NA,NA,NA,NA,NA,NA,NA
Botrylloides leachi,Botrylloides leachi,SPECIES,Animalia,NA,250081,Botrylloides leachii,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Botryllus schlosseri,Botryllus schlosseri,SPECIES,Animalia,NA,103862,Botryllus schlosseri,NA,0.5,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bugula flabellata,Bugula flabellata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calliostoma zizyphinum,Calliostoma zizyphinum,SPECIES,Animalia,NA,141767,Calliostoma zizyphinum,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
Callithamnion tetragonum,Callithamnion tetragonum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callophyllis laciniata,Callophyllis laciniata,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caryophyllia smithii,Caryophyllia smithii,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceramium nodulosum,Ceramium nodulosum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysophyta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clathrina coriacea,Clathrina coriacea,SPECIES,Animalia,NA,132277,Clathrina coriacea,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Corallinaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynactis viridis,Corynactis viridis,SPECIES,Animalia,NA,101016,Corynactis viridis,NA,15,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Crisiidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptopleura ramosa,Cryptopleura ramosa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cutleria multifida,Cutleria multifida,SPECIES,Chromista,NA,145297,Cutleria multifida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cystoclonium purpureum,Cystoclonium purpureum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delesseria sanguinea,Delesseria sanguinea,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demospongiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrodoa grossularia,Dendrodoa grossularia,SPECIES,Animalia,NA,103882,Dendrodoa grossularia,NA,18.333333333333332,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Desmarestia aculeata,Desmarestia aculeata,SPECIES,Chromista,NA,145307,Desmarestia aculeata,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
Desmarestia viridis,Desmarestia viridis,SPECIES,Chromista,NA,145310,Desmarestia viridis,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
Didemnidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didemnum maculosum,Didemnum maculosum,SPECIES,Animalia,NA,103570,Didemnum maculosum,NA,1,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Dilsea carnosa,Dilsea carnosa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diplosoma spongiforme,Diplosoma spongiforme,SPECIES,Animalia,NA,103582,Diplosoma spongiforme,NA,3.75,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Dyopedos porrectus,Dyopedos porrectus,SPECIES,Animalia,NA,103044,Dyopedos porrectus,NA,6.5,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Electra pilosa,Electra pilosa,SPECIES,Animalia,NA,111355,Electra pilosa,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Eucratea loricata,Eucratea loricata,SPECIES,Animalia,NA,111361,Eucratea loricata,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Flustra foliacea,Flustra foliacea,SPECIES,Animalia,NA,111367,Flustra foliacea,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Galathea nexa,Galathea nexa,SPECIES,Animalia,NA,107152,Galathea nexa,NA,30,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Galathea strigosa,Galathea strigosa,SPECIES,Animalia,NA,107155,Galathea strigosa,NA,82.75,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Gibbula cineraria,Gibbula cineraria,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grantia compressa,Grantia compressa,SPECIES,Animalia,NA,132181,Grantia compressa,NA,15,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Halarachnion ligulatum,Halarachnion ligulatum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halecium undulatum,Halecium undulatum,SPECIES,Animalia,NA,117607,Halecium undulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliclona,Haliclona,GENUS,Animalia,NA,131834,Haliclona,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Haraldiophyllum bonnemaisonii,Haraldiophyllum bonnemaisonii,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Henricia sanguinolenta,Henricia sanguinolenta,SPECIES,Animalia,NA,123974,Henricia sanguinolenta,NA,160,NA,NA,NA,NA,NA,NA,NA,NA
Hyas,Hyas,GENUS,Animalia,NA,106903,Hyas,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Hypoglossum hypoglossoides,Hypoglossum hypoglossoides,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jorunna tomentosa,Jorunna tomentosa,SPECIES,Animalia,NA,140166,Jorunna tomentosa,NA,55,NA,NA,NA,NA,NA,NA,NA,NA
Kallymenia reniformis,Kallymenia reniformis,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laminaria,Laminaria,GENUS,Chromista,NA,144199,Laminaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptasterias muelleri,Leptasterias muelleri,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucosolenia botryoides,Leucosolenia botryoides,SPECIES,Animalia,NA,132216,Leucosolenia botryoides,NA,10,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Limacia clavigera,Limacia clavigera,SPECIES,Animalia,NA,140830,Limacia clavigera,NA,18,NA,NA,NA,NA,NA,NA,NA,NA
Liocarcinus depurator,Liocarcinus depurator,SPECIES,Animalia,NA,107387,Liocarcinus depurator,NA,51.2,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Lomentaria orcadensis,Lomentaria orcadensis,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marthasterias glacialis,Marthasterias glacialis,SPECIES,Animalia,NA,123803,Marthasterias glacialis,NA,850,NA,NA,NA,NA,NA,NA,NA,NA
Membranipora membranacea,Membranipora membranacea,SPECIES,Animalia,NA,111411,Membranipora membranacea,NA,0.275,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Morchellium argus,Morchellium argus,SPECIES,Animalia,NA,148714,Morchellium argus,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Mysidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myxilla incrustans,Myxilla incrustans,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Necora puber,Necora puber,SPECIES,Animalia,NA,107398,Necora puber,NA,59,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Nematoda,Nemapoda,GENUS,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neptunea antiqua,Neptunea antiqua,SPECIES,Animalia,NA,138920,Neptunea antiqua,NA,80,NA,NA,NA,NA,NA,NA,NA,NA
Obelia,Obelia,GENUS,Animalia,NA,117034,Obelia,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Obelia dichotoma,Obelia dichotoma,SPECIES,Animalia,NA,117386,Obelia dichotoma,NA,350,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Obelia geniculata,Obelia geniculata,SPECIES,Animalia,NA,117388,Obelia geniculata,NA,50,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Odonthalia dentata,Odonthalia dentata,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oligochaeta,Oligochaeta,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophiocomina nigra,Ophiocomina nigra,SPECIES,Animalia,NA,125027,Ophiocomina nigra,NA,56.666666666666664,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ophiopholis aculeata,Ophiopholis aculeata,SPECIES,Animalia,NA,125125,Ophiopholis aculeata,NA,33.75,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ophiothrix fragilis,Ophiothrix fragilis,SPECIES,Animalia,NA,125131,Ophiothrix fragilis,NA,47.5,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ophiura albida,Ophiura albida,SPECIES,Animalia,NA,124913,Ophiura albida,NA,34.25,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Pachymatisma johnstoni,Pachymatisma johnstoni,SPECIES,Animalia,NA,134057,Pachymatisma johnstonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pagurus bernhardus,Pagurus bernhardus,SPECIES,Animalia,NA,107232,Pagurus bernhardus,NA,20.9,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Parasmittina trispinosa,Parasmittina trispinosa,SPECIES,Animalia,NA,111547,Parasmittina trispinosa,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Pawsonia saxicola,Pawsonia saxicola,SPECIES,Animalia,NA,124653,Pawsonia saxicola,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
Phycodrys rubens,Phycodrys rubens,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllophora pseudoceranoides,Phyllophora pseudoceranoides,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plocamium cartilagineum,Plocamium cartilagineum,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plumaria plumosa,Plumaria plumosa,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plumularia setacea,Plumularia setacea,SPECIES,Animalia,NA,117824,Plumularia setacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polycera faeroensis,Polycera faeroensis,SPECIES,Animalia,NA,140834,Polycera faeroensis,NA,45,NA,NA,NA,NA,NA,NA,NA,NA
Polyclinum aurantium,Polyclinum aurantium,SPECIES,Animalia,NA,103674,Polyclinum aurantium,NA,30,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Polysiphonia stricta,Polysiphonia stricta,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pterosiphonia parasitica,Pterosiphonia parasitica,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptilota gunneri,Ptilota gunneri,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomela confervoides,Rhodomela confervoides,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sagartia elegans,Sagartia elegans,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sagartia troglodytes,Sagartia troglodytes,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmacina dysteri,Salmacina dysteri,SPECIES,Animalia,NA,131038,Salmacina dysteri,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
Scrupocellaria,Scrupocellaria,GENUS,Animalia,NA,110866,Scrupocellaria,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Sidnyum turbinatum,Sidnyum turbinatum,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spirorbidae,Spirorbina,GENUS,Chromista,NA,722254,Spirorbina,NA,NA,0.2 - 2.0 mm,NA,NA,NA,NA,NA,NA,NA
Tectura,Tectura,GENUS,Animalia,NA,138142,Tectura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tectura virginea,Tectura virginea,SPECIES,Animalia,NA,153552,Tectura virginea,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA
Trivia arctica,Trivia arctica,SPECIES,Animalia,NA,141741,Trivia arctica,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
Tubularia indivisa,Tubularia indivisa,SPECIES,Animalia,NA,117994,Tubularia indivisa,NA,275,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Umbonula littoralis,Umbonula littoralis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Urticina felina,Urticina felina,SPECIES,Animalia,NA,100834,Urticina felina,NA,110,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Chaetomorpha,Chaetomorpha,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armeria maritima,Armeria maritima,SPECIES,Plantae,NA,NA,NA,Armeria maritima,NA,NA,NA,NA,-0.23850197827678296,0.3,NA,21 25 119 174,25 92 178 200 174 251
Ascophyllum nodosum,Ascophyllum nodosum,SPECIES,Chromista,NA,145541,Ascophyllum nodosum,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA
Chorda filum,Chorda filum,SPECIES,Chromista,NA,145722,Chorda filum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dumontia contorta,Dumontia contorta,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fucus spiralis,Fucus spiralis,SPECIES,Chromista,NA,145547,Fucus spiralis,NA,500,NA,NA,NA,NA,NA,NA,NA,NA
Halidrys siliquosa,Halidrys siliquosa,SPECIES,Chromista,NA,145540,Halidrys siliquosa,NA,1500,NA,NA,NA,NA,NA,NA,NA,NA
Leathesia difformis,Leathesia difformis,SPECIES,Chromista,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Littorina littorea,Littorina littorea,SPECIES,Animalia,NA,140262,Littorina littorea,NA,23,NA,NA,NA,NA,NA,NA,NA,NA
Lomentaria articulata,Lomentaria articulata,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelvetia canaliculata,Pelvetia canaliculata,SPECIES,Chromista,NA,145550,Pelvetia canaliculata,NA,140,NA,NA,NA,NA,NA,NA,NA,NA
Polysiphonia,Polysiphonia,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomatoceros triqueter,Pomatoceros triqueter,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramalina siliquosa,Ramalina siliquosa,SPECIES,Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rissoa,Rissoa,GENUS,Animalia,NA,138456,Rissoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tectura testudinalis,Tectura testudinalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Codium,Codium,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ulva,Ulva,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cirripedia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Molgula,Molgula,GENUS,Animalia,NA,103509,Molgula,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Mya truncata,Mya truncata,SPECIES,Animalia,NA,140431,Mya truncata,NA,70,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Nemertea,Nemertes,GENUS,Animalia,NA,147060,Nemertes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys,Nephtys,GENUS,Animalia,NA,129370,Nephtys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philomedes,Philomedes,GENUS,Animalia,NA,127524,Philomedes,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
Abra,Abra,GENUS,Animalia,NA,138474,Abra,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Alcyonidium,Alcyonidium,GENUS,Animalia,NA,110993,Alcyonidium,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Alcyonidium hirsutum,Alcyonidium hirsutum,SPECIES,Animalia,NA,111601,Alcyonidium hirsutum,NA,100,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ampelisca brevicornis,Ampelisca brevicornis,SPECIES,Animalia,NA,101891,Ampelisca brevicornis,NA,12,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ampharete baltica,Ampharete baltica,SPECIES,Animalia,NA,129776,Ampharete baltica,NA,80,NA,NA,NA,NA,NA,NA,NA,NA
Anaitides,Anaitides,GENUS,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ascidiella scabra,Ascidiella scabra,SPECIES,Animalia,NA,103719,Ascidiella scabra,NA,45,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Audouinella,Audouinella,GENUS,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capitomastus minimus,Capitomastus minimus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerastoderma edule,Cerastoderma edule,SPECIES,Animalia,NA,138998,Cerastoderma edule,NA,50,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Cheirocratus intermedius,Cheirocratus intermedius,SPECIES,Animalia,NA,102795,Cheirocratus intermedius,NA,10,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Ciona intestinalis,Ciona intestinalis,SPECIES,Animalia,NA,103732,Ciona intestinalis,NA,150,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Cladophora rupestris,Cladophora rupestris,SPECIES,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corophium bonnellii,Corophium bonnellii,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dynamena pumila,Dynamena pumila,SPECIES,Animalia,NA,117888,Dynamena pumila,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
Ectocarpaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edwardsia claparedii,Edwardsia claparedii,SPECIES,Animalia,NA,100880,Edwardsia claparedii,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Eteone longa,Eteone longa,SPECIES,Animalia,NA,130616,Eteone longa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Euclymene oerstedii,Euclymene oerstedii,SPECIES,Animalia,NA,130294,Euclymene oerstedii,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
Eudorella truncatula,Eudorella truncatula,SPECIES,Animalia,NA,110535,Eudorella truncatula,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
Halisarca dujardini,Halisarca dujardinii,SPECIES,Animalia,NA,132736,Halisarca dujardinii,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Harmothoe,Harmothoe,GENUS,Animalia,NA,129491,Harmothoe,NA,100,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Harmothoe imbricata,Harmothoe imbricata,SPECIES,Animalia,NA,130769,Harmothoe imbricata,NA,65,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Harpinia crenulata,Harpinia crenulata,SPECIES,Animalia,NA,102963,Harpinia crenulata,NA,4,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Hiatella arctica,Hiatella arctica,SPECIES,Animalia,NA,140103,Hiatella arctica,NA,45,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Insecta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucosolenia,Leucosolenia,GENUS,Animalia,NA,131715,Leucosolenia,NA,NA,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Mediomastus fragilis,Mediomastus fragilis,SPECIES,Animalia,NA,129892,Mediomastus fragilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephtys hombergii,Nephtys hombergii,SPECIES,Animalia,NA,130359,Nephtys hombergii,NA,200,NA,NA,NA,NA,NA,NA,NA,NA
Onoba aculeus,Onoba aculeus,SPECIES,Animalia,NA,141308,Onoba aculeus,NA,2.125,NA,NA,NA,NA,NA,NA,NA,NA
Ophelina acuminata,Ophelina acuminata,SPECIES,Animalia,NA,130500,Ophelina acuminata,NA,75,NA,NA,NA,NA,NA,NA,NA,NA
Parvicardium exiguum,Parvicardium exiguum,SPECIES,Animalia,NA,139008,Parvicardium exiguum,NA,13,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
Perioculodes longimanus,Perioculodes longimanus,SPECIES,Animalia,NA,102915,Perioculodes longimanus,NA,5,2.0 - 200 mm,NA,NA,NA,NA,NA,NA,NA
